column,dtype,non_null,example
vin,object,121,KMHLM4DJ4SU177931
stock_number,object,121,H7276
state_of_vehicle,object,121,NEW
availability,object,121,AVAILABLE
year,Int64,121,2025
make,object,121,Hyundai
model,object,121,Elantra Hybrid
trim,object,121,Blue
body_style,object,121,SEDAN
drivetrain,object,121,FWD
transmission,object,121,AUTOMATIC
fuel_type,object,121,HYBRID
mileage_value,int64,121,6
mileage_unit,object,121,MI
age_days,Int64,121,132
price_usd,float64,121,27305.0
sale_price_usd,float64,121,22021.0
discount_usd,float64,121,5284.0
has_discount,bool,121,True
title,object,121,2025 Hyundai Elantra Hybrid Blue
description,object,121,"Fluid Metal FWD I4 6-Speed Dual ClutchI4, 16"" x 6.5J Alloy Wheels, 4-Wheel Disc Brakes, 6 Speakers, ABS brakes, Air Conditioning, Alloy wheels, AM/FM radio, Apple CarPlay & Android Auto, Auto High-beam Headlights, Automatic temperature control, Brake assist, Bumpers: body-color, Cargo Net, Carpeted Floor Mats, Delay-off headlights, Driver door bin, Driver vanity mirror, Dual front impact airbags, Dual front side impact airbags, Electronic Stability Control, Exterior Parking Camera Rear, First Aid Kit, Front anti-roll bar, Front Bucket Seats, Front Center Armrest, Front dual zone A/C, Front reading lights, Front wheel independent suspension, Fully automatic headlights, Heated door mirrors, Illuminated entry, Low tire pressure warning, Mudguards, Occupant sensing airbag, Option Group 01, Outside temperature display, Overhead airbag, Overhead console, Panic alarm, Passenger door bin, Passenger vanity mirror, Power door mirrors, Power steering, Power windows, Premium Cloth Seat Trim, Radio: AM/FM/HD Display Audio, Rear side impact airbag, Rear window defroster, Remote keyless entry, Reversible Cargo Tray, Security system, Speed control, Speed-sensing steering, Steering wheel mounted audio controls, Tachometer, Telescoping steering wheel, Tilt steering wheel, Traction control, Trip computer, Variably intermittent wipers, I4.Priced below KBB Fair Purchase Price! 51/58 City/Highway MPGClark Hyundai- We have what you want! We will $BUY$ your car- Paid For or Not!! Whether you buy ours or not!! Visit us @ https://www.clarkhyundaikalispell.com, Call 866-400-8773, Like us on Facebook @https://www.facebook.com/clarkhyundaimt/, Courtesy Shuttle Service and a whole lot more - See dealer for details. #clarkhyundai #clarkhyundaiservicE. Price does not include dock fee.  Contact dealer for rebate eligibilility.  $1000 - Sales Event Cash. Exp. 01/02/2026 $2500 - Hyundai HMF Dealer Choice : $2500 discount and 5.49% APR for 24 months. $44.09 per $1000 financed. Available to well qualified buyers who finance through Hyundai Motor Finance. H704. Exp. 01/02/2026  "
url,object,121,https://www.clarkhyundai.com/new/Hyundai/2025-Hyundai-Elantra-Hybrid-b789272cac1850ce6cf4e5c1ba2c657d.htm
primary_image_url,object,121,https://assets.cai-media-management.com/resize/640x640/common-vehicle-media/132e3847-aa5b-463f-800b-492a710f900a.jpg
